,Balance/P&L,Credit/Debit,Is acc. Account,What is the parent/acc. Account,Accounting types,,,,"Tax types (Gewerbe, Umsatz, Koest)",,,Allowed tax id,Overwrites tax id definitions if defined,Tax1,Tax2,,,,Tax report pos.,,,
176,,,,,,,,,,,,,,,,,,,,,"Außenanlagen (fremde Grst.,Geschäftsb.)",Outdoor facilities
177,,,,,,,,,,,,,,,,,,,,,"Hof-, Wegebefestig (frd Grst,Geschäftsb)",Paved courtyards and other paved surfaces
178,,,,,,,,,,,,,,,,,,,,,"Einrichtungen (fremde Grst.,Geschäftsb.)",Fixtures in commercial and industrial buildings
179,,,,,,,,,,,,,,,,,,,,,Andere Bauten (fremde Grundstücke),Other buildings
180,,,,,,,,,,,,,,,,,,,,,"Geschäfts-,Fabrik-u.and. Bauten im Bau","Commercial, industrial and other buildings under construction"
189,,,,,,,,,,,,,,,,,,,,,Anzahlg. auf Bauten fremd. Grundstücken,"Prepayments on commercial, industrial and other buildings on third-party land"
190,,,,,,,,,,,,,,,,,,,,,Wohnbauten (fremde Grundstücke),Residential buildings
191,,,,,,,,,,,,,,,,,,,,,"Garagen (fremde Grundstücke, Wohnbauten)",Garages
192,,,,,,,,,,,,,,,,,,,,,"Außenanlagen (fremde Grundstücke,Wohnb.)",Outdoor facilities
193,,,,,,,,,,,,,,,,,,,,,"Hof-, Wegebefestigung (frd Grst.,Wohnb.)",Paved courtyards and other paved surfaces
194,,,,,,,,,,,,,,,,,,,,,"Einrichtungen (fremde Grundst., Wohnb.)",Fixtures in residential
195,,,,,,,,,,,,,,,,,,,,,Wohnbauten im Bau fremden Grundstücken,Residential buildings under construction
199,,,,,,,,,,,,,,,,,,,,,Anzahlungen a. Wohnbauten a. fremd. Gr.,Prepayments on residential buildings on third-party land
200,,,,,,,,,,,,,,,,,,,,,Technische Anlagen und Maschinen,Technical equipment and machinery
210,,,,,,,,,,,,,,,,,,,,,Maschinen,Machinery
220,,,,,,,,,,,,,,,,,,,,,Maschinengebundene Werkzeuge,Machine tools
240,,,,,,,,,,,,,,,,,,,,,Technische Anlagen,Technical equipment
260,,,,,,,,,,,,,,,,,,,,,Transportanlagen und Ähnliches,Transportation and similar systems
280,,,,,,,,,,,,,,,,,,,,,Betriebsvorrichtungen,Operating facilities
290,,,,,,,,,,,,,,,,,,,,,Technische Anlagen und Maschinen im Bau,Technical equipment and machinery under construction
299,,,,,,,,,,,,,,,,,,,,,Anzahlungen auf technische Anlagen,Prepayments on technical equipment and machinery
300,,,,,,,,,,,,,,,,,,,,,Betriebs- und Geschäftsausstattung,"Other equipment, operating and office equipment"
310,,,,,,,,,,,,,,,,,,,,,Andere Anlagen,Other equipment
320,,,,,,,,,,,,,,,,,,,,,Pkw,Passenger cars
350,,,,,,,,,,,,,,,,,,,,,Lkw,Heavy goods vehicles
380,,,,,,,,,,,,,,,,,,,,,Sonstige Transportmittel,Other transportation resources
400,,,,,,,,,,,,,,,,,,,,,Betriebsausstattung,Operating equipment
410,,,,,,,,,,,,,,,,,,,,,Geschäftsausstattung,Office equipment
420,,,,,,,,,,,,,,,,,,,,,Büroeinrichtung,Office fittings
430,,,,,,,,,,,,,,,,,,,,,Ladeneinrichtung,Shop fittings
440,,,,,,,,,,,,,,,,,,,,,Werkzeuge,Tools
450,,,,,,,,,,,,,,,,,,,,,Einbauten in fremde Grundstücke,Leasehold improvements
460,,,,,,,,,,,,,,,,,,,,,Gerüst- und Schalungsmaterial,Scaffolding and formwork materials
480,,,,,,,,,,,,,,,,,,,,,Geringwertige Wirtschaftsgüter,Low-value assets
485,,,,,,,,,,,,,,,,,,,,,Wirtschaftsgüter (Sammelposten),Assets (collective item)
490,,,,,,,,,,,,,,,,,,,,,Sonstige Betriebs-u.Gesch.ausstattung,Other operating and office equipment
498,,,,,,,,,,,,,,,,,,,,,Betriebs- u. Gesch.ausstattung im Bau,"Other equipment, operating and office equipment under construction"
499,,,,,,,,,,,,,,,,,,,,,Anzahlung Betriebs- u. Gesch.ausstattung,"Prepayments on other equipment, operating and office equipment"
500,,,,,,,,,,,,,,,,,,,,,Anteile an verbundenen Unternehmen (AV),Shares in affiliated companies (fixed assets)
501,,,,,,,,,,,,,,,,,,,,,"Anteile an verbundenen UN, PersG (AV)","Shares in affiliated companies, partnerships"
502,,,,,,,,,,,,,,,,,,,,,"Anteile an verbundenen UN, KapG (AV)","Shares in affiliated companies, corporations"
503,,,,,,,,,,,,,,,,,,,,,"Anteile an herrsch. Gesell., KapG (AV)","Shares in parent or majority investor, corporations"
504,,,,,,,,,,,,,,,,,,,,,Anteile a. herrschend. Gesellschaft (AV),Shares in parent or in majority investor
505,,,,,,,,,,,,,,,,,,,,,Ausleihungen an verbundene Unternehmen,Loans to affiliated companies
506,,,,,,,,,,,,,,,,,,,,,"Ausleihungen an verbundene UN, PersG","Loans to affiliated companies, partnerships"
507,,,,,,,,,,,,,,,,,,,,,"Ausleihungen an verbundene UN, KapG","Loans to affiliated companies, corporations"
508,,,,,,,,,,,,,,,,,,,,,"Ausleihungen an verbundene UN, EinzelUN","Loans to affiliated companies, sole proprietorships"
509,,,,,,,,,,,,,,,,,,,,,"Anteile an herrsch. Gesell., PersG (AV)","Shares in affiliated majority investor, partnership"
510,,,,,,,,,,,,,,,,,,,,,Beteiligungen,Other long-term equity investments
513,,,,,,,,,,,,,,,,,,,,,Typisch stille Beteiligungen,Typical silent partnerships
516,,,,,,,,,,,,,,,,,,,,,Atypische stille Beteiligungen,Atypical silent partnerships
517,,,,,,,,,,,,,,,,,,,,,Beteiligungen an Kapitalgesellschaft,Investments in corporations
518,,,,,,,,,,,,,,,,,,,,,Beteiligungen an Personengesellschaft,Investments in partnerships
519,,,,,,,,,,,,,,,,,,,,,Beteiligung GmbH&Co.an Komplementär-GmbH,Investment by a GmbH & Co. KG in a general partner GmbH
520,,,,,,,,,,,,,,,,,,,,,Ausleih. an UN mit Beteiligungsverh.,Loans to other long-term investees and investors
523,,,,,,,,,,,,,,,,,,,,,"Ausleihungen an UN mit Beteilig., PersG","Loans to other long-term investees or investors, partnerships"
524,,,,,,,,,,,,,,,,,,,,,"Ausleihungen an UN mit Beteilig., KapG","Loans to other long-term investees or investors, corporations"
525,,,,,,,,,,,,,,,,,,,,,Wertpapiere des Anlagevermögens,Long-term securities
530,,,,,,,,,,,,,,,,,,,,,Wertpapiere mit Gewinnbeteil.ansprüch.,Securities with profit participation rights that are subject to the partial income system
535,,,,,,,,,,,,,,,,,,,,,Festverzinsliche Wertpapiere,Fixed-income securities
538,,,,,,,,,,,,,,,,,,,,,Anteile GmbH & Co. an Komplementär-GmbH,Shares of a GmbH & Co. KG in a general partner GmbH
540,,,,,,,,,,,,,,,,,,,,,Übrige sonstige Ausleihungen,Other miscellaneous loans
550,,,,,,,,,,,,,,,,,,,,,Darlehen (Finanzanlagen),Loans
570,,,,,,,,,,,,,,,,,,,,,Genossenschaftsanteile z.lfr.Verbleib,Long-term shares in cooperatives
580,,,,,,,,,,,,,,,,,,,,,Ausleihungen an Gesellschafter,Loans to sharehol-
582,,,,,,,,,,,,,,,,,,,,,Ausleihungen an GmbH-Gesellschafter,Loans to GmbH shareholders
583,,,,,,,,,,,,,,,,,,,,,Ausleih. an stille Gesellschafter,Loans to GmbH shareholders
584,,,,,,,,,,,,,,,,,,,,,Ausleih. an persönlich haftende Ges.er,Loans to general partners
586,,,,,,,,,,,,,,,,,,,,,Ausleihungen an Kommanditisten,Loans to limited partners
590,,,,,,,,,,,,,,,,,,,,,Ausleihungen an nahe stehende Personen,Loans to related parties
595,,,,,,,,,,,,,,,,,,,,,LV-Rückdeckungsansprüche z.lfr.Verbl.,Long-term pension liability claims from life insurance policies
600,,,,,,,,,,,,,,,,,,,,,"Anleihen, nicht konvertibel",Non-convertible bonds
601,,,,,,,,,,,,,,,,,,,,,"Anleihen, nicht konvertibel (b. 1 Jahr)",Non-convertible bonds
605,,,,,,,,,,,,,,,,,,,,,"Anleihen, nicht konvertibel (1-5 Jahre)",Non-convertible bonds
610,,,,,,,,,,,,,,,,,,,,,"Anleihen, nicht konvertibel (g.5 Jahre)",Non-convertible bonds
615,,,,,,,,,,,,,,,,,,,,,Anleihen konvertibel,Convertible bonds
616,,,,,,,,,,,,,,,,,,,,,Anleihen konvertibel(bis 1 Jahr),Convertible bonds remaining term up to 1 year
620,,,,,,,,,,,,,,,,,,,,,Anleihen konvertibel(1-5 Jahre),Convertible bonds remaining term between 1 and 5 years
625,,,,,,,,,,,,,,,,,,,,,Anleihen konvertibel(größer 5 Jahre),Convertible bonds remaining term greater than 5 years
630,,,,,,,,,,,,,,,,,,,,,Verbindlichkeiten gg. Kreditinstituten,Liabilities to banks
631,,,,,,,,,,,,,,,,,,,,,Verbindlichkeiten Kreditinstitut(b.1J),Liabilities to banks remaining term up to 1 year
640,,,,,,,,,,,,,,,,,,,,,Verbindlichkeiten Kreditinstitut(1-5J),Liabilities to banks remaining term between 1 and 5 years
650,,,,,,,,,,,,,,,,,,,,,Verbindlichkeiten Kreditinstitut(g.5J),Liabilities to banks remaining term greater than 5 years
660,,,,,,,,,,,,,,,,,,,,,TZ-Verbindlichkeit. gg. Kreditinstituten,Liabilities to banks instalment credit agreements
661,,,,,,,,,,,,,,,,,,,,,TZ-Verbindlichkeit. Kreditinstitut(b.1J),Liabilities to banks instalment credit agreements remaining term up to 1 year
670,,,,,,,,,,,,,,,,,,,,,TZ-Verbindlichkeit. Kreditinstitut(1-5J),Liabilities to banks instalment credit agreements remaining term between 1 and 5 years
680,,,,,,,,,,,,,,,,,,,,,TZ-Verbindlichkeit. Kreditinstitut(g.5J),Liabilities to banks instalment credit agreements remaining term greater than 5 years
690,,,,,,,,,,,,,,,,,,,,,"Verb.g.Kred.inst.,vor Rlz-Differenzierg","Liabilities to banks, previous to residual term differentiation"
699,,,,,,,,,,,,,,,,,,,,,Gegenkonto bei Aufteilung Kto 0690-0698,Contra account 0690-0698
700,,,,,,,,,,,,,,,,,,,,,Verbindlichk.gegenüber verbundenen UN,Liabilities to affiliated companies
701,,,,,,,,,,,,,,,,,,,,,Verbindlichkeit. gg.verbundene UN(b.1 J),Liabilities to affiliated companies remaining term up to 1 year
705,,,,,,,,,,,,,,,,,,,,,Verbindlichkeit. gg.verbundene UN(1-5 J),Liabilities to affiliated companies remaining term between 1 and 5 years
710,,,,,,,,,,,,,,,,,,,,,Verbindlichkeit. gg.verbundene UN(g.5 J),Liabilities to affiliated companies remaining term greater than 5 years
715,,,,,,,,,,,,,,,,,,,,,Verbindl. gg.UN mit Beteiligungsverh.,Liabilities to other long-term investees and investors
716,,,,,,,,,,,,,,,,,,,,,Verbindl. gg.UN mit Beteiligg.verh. b.1J,Liabilities to other long-term investees and investors remaining term up to 1 year
720,,,,,,,,,,,,,,,,,,,,,Verbindl. gg.UN mit Beteiligg.verh. 1-5J,Liabilities to other long-term investees and investors remaining term between 1 and 5 years
725,,,,,,,,,,,,,,,,,,,,,Verbindl. gg.UN mit Beteiligg.verh. g.5J,Liabilities to other long-term investees and investors remaining
730,,,,,,,,,,,,,,,,,,,,,Verbindlichkeit.gg. Gesellschaftern,Liabilities to shareholders/partners
731,,,,,,,,,,,,,,,,,,,,,Verbindlichkeit.gg. Gesellschaftern b.1J,Liabilities to shareholders/partners remaining term up to 1 year
740,,,,,,,,,,,,,,,,,,,,,Verbindlichkeit.gg. Gesellschaftern 1-5J,Liabilities to shareholders/partners remaining term between 1 and 5 years
750,,,,,,,,,,,,,,,,,,,,,Verbindlichkeit.gg. Gesellschaftern g.5J,Liabilities to shareholders/partners remaining term greater than 5 years
755,,,,,,,,,,,,,,,,,,,,,Verb.gg.Gesellschaftern off.Ausschüttg.,Liabilities to shareholders/partners for outstanding distributions
760,,,,,,,,,,,,,,,,,,,,,Verb.ggü.typ.stillen Gesellschaftern,Liabilities to typical silent partners
761,,,,,,,,,,,,,,,,,,,,,Verb.ggü.typ.stillen Gesellsch.(b.1J),Liabilities to typical silent partners remaining term up to 1 year
764,,,,,,,,,,,,,,,,,,,,,Verb.ggü.typ.stillen Gesellsch.(1-5J),Liabilities to typical silent partners remaining term between 1 and 5 years
767,,,,,,,,,,,,,,,,,,,,,Verb.ggü.typ.stillen Gesellsch.(g.5J),Liabilities to typical silent partners remaining term greater than 5 years
770,,,,,,,,,,,,,,,,,,,,,Verb.ggü.atyp.stillen Gesellschaftern,Liabilities to atypical silent partners
771,,,,,,,,,,,,,,,,,,,,,Verb.ggü.atyp.stillen Gesellsch.(b.1J),Liabilities to atypical silent partners remaining term up to 1 year
774,,,,,,,,,,,,,,,,,,,,,Verb.ggü.atyp.stillen Gesellsch.(1-5J),Liabilities to atypical silent partners remaining term between 1 and 5 years
777,,,,,,,,,,,,,,,,,,,,,Verb.ggü.atyp.stillen Gesellsch.(g.5J),Liabilities to atypical silent partners remaining term greater than 5 years
780,,,,,,,,,,,,,,,,,,,,,Partiarische Darlehen,Profit-participation loans
781,,,,,,,,,,,,,,,,,,,,,Partiarische Darlehen(bis 1 Jahr),Profit-participation loans remaining term up to 1 year
784,,,,,,,,,,,,,,,,,,,,,Partiarische Darlehen(1-5 Jahre),Profit-participation loans remaining term between 1 and 5 years
787,,,,,,,,,,,,,,,,,,,,,Partiarische Darlehen(g. 5 Jahre),Profit-participation loans remaining term greater than 5 years
790,,,,,,,,,,,,,,,,,,,,,So.Verb.vor Rlz-Differenz.(n.Bilanzier.),"Other liabilities, previous to residual term differentiation (balance sheet accounting only)"
799,,,,,,,,,,,,,,,,,,,,,Gegenkonto Aufteilung so.Verbindlichk. 0730-1789 and 1665-1678,Contra account 0730-1789 and 1665-1678
800,,,,,,,,,,,,,,,,,,,,,Gezeichnetes Kapital,Subscribed capital
809,,,,,,,,,,,,,,,,,,,,,Kapitalerhöhung aus Gesellschaftsmitteln,Capital increase from reserves or retained earnings
810,,,,,,,,,,,,,,,,,,,,,Geschäftsguthaben verbleib. Mitglieder,Paid-up shares of remaining members of co-operatives
811,,,,,,,,,,,,,,,,,,,,,Geschäftsguthaben ausscheid.Mitglieder,Paid-up shares of withdrawing members of co-operatives
812,,,,,,,,,,,,,,,,,,,,,Geschäftsguthaben gekünd. Geschäftsant,"Paid-up shares of cooperatives, cancelled shares"
813,,,,,,,,,,,,,,,,,,,,,Fällige Einzahl. Geschäftsant. vermerkt,"Unpaid and due shares in co-operatives, recorded"
815,,,,,,,,,,,,,,,,,,,,,Gkto.fällige Einzah.Geschäftsant. verm.,"Contra account for unpaid and due shares in co-operatives, recorded"
819,,,,,,,,,,,,,,,,,,,,,Erworbene eigene Anteile,Purchased treasury
820,,,,,,,,,,,,,,,,,,,,,Ausstehende Einlage nicht eingefordert,Unpaid uncalled contributions to subscribed capital
830,,,,,,,,,,,,,,,,,,,,,Ausstehende Einlage eingefordert,Unpaid called contributions to subscribed capital
839,,,,,,,,,,,,,,,,,,,,,Nachschüsse,Supplementary calls (receivables; contra account 0845)
840,,,,,,,,,,,,,,,,,,,,,Kapitalrücklage,Capital reserves
841,,,,,,,,,,,,,,,,,,,,,Kapitalrücklage/Anteile ü. Nennbetrag,Capital reserves from issuance of shares above par or notional amount
842,,,,,,,,,,,,,,,,,,,,,Kapitalrückl./Ausgabe Schuldverschr.,Capital reserves from issuance of convertible bonds and options to acquire shares
843,,,,,,,,,,,,,,,,,,,,,Kapitalrücklage gg.Vorzugsgewährung,Capital reserves from additional payments as consideration for preferential rights for shares
844,,,,,,,,,,,,,,,,,,,,,Kapitalrückl. durch Zuzahlungen in EK,Other additional capital contributions
845,,,,,,,,,,,,,,,,,,,,,Nachschusskapital,Supplementary calls
846,,,,,,,,,,,,,,,,,,,,,Gesetzliche Rücklage,Legal reserve
848,,,,,,,,,,,,,,,,,,,,,Gewinnrücklage Erwerb eigener Anteile,Other revenue reserves from the purchase of treasury shares
849,,,,,,,,,,,,,,,,,,,,,Rücklage Anteile an herrsch. Unternehmen,Reserve for shares in a parent or majority investor
851,,,,,,,,,,,,,,,,,,,,,Satzungsmäßige Rücklagen,Reserves provided for by the articles of association
852,,,,,,,,,,,,,,,,,,,,,Andere Ergebnisrücklagen,Other revenue reserves (co-operatives)
853,,,,,,,,,,,,,,,,,,,,,Gewinnrücklage Übergangsvorschr. BilMoG,Revenue reserves from the transitional BilMoG provisions
854,,,,,,,,,,,,,,,,,,,,,Gewinnrücklage Zuschreibg. Sachanlage,Revenue reserves from the transitional BilMoG provisions (reversal of writedowns of tangible fixed assets)
855,,,,,,,,,,,,,,,,,,,,,Andere Gewinnrücklagen,Other revenue reserves
856,,,,,,,,,,,,,,,,,,,,,Eigenkapitalanteil von Wertaufholungen,Equity component of reversals of writedowns
857,,,,,,,,,,,,,,,,,,,,,Gewinnrücklage Zuschreibg. Finanzanl.,Revenue reserves from the transitional BilMoG provisions (reversal of writedowns of long-term financial assets)
858,,,,,,,,,,,,,,,,,,,,,Gewinnrücklage Auflösung SoPo,Revenue reserves from reversal of special tax-allowable reserves
859,,,,,,,,,,,,,,,,,,,,,Latente Steuern (H) neutrale Verrechnung,Deferred taxes (revenue reserves credit balance) from items taken directly to equity
860,,,,,,,,,,,,,,,,,,,,,Gewinnvortrag vor Verwendung,Retained profits
865,,,,,,,,,,,,,,,,,,,,,Gewinnvortrag vor Verwendung (KKE),Retained profits brought forward before appropriation of net profit (with breakdown for statement of changes in capital accounts)
867,,,,,,,,,,,,,,,,,,,,,Verlustvortrag vor Verwendung (KKE),Accumulated losses brought forward before appropriation of net profit (with breakdown for statement of changes in capital accounts)
868,,,,,,,,,,,,,,,,,,,,,Verlustvortrag vor Verwendung,Accumulated losses brought forward before appropriation of net profit
870,,,,,,,,,,,,,,,,,,,,,"Festkapital (VH), EK","Fixed capital, gp"
871,,,,,,,,,,,,,,,,,,,,,"Kapital (fester Anteil, nur EU)","Capital (fixed share, only sole proprietorships)"
880,,,,,,,,,,,,,,,,,,,,,"Variables Kapital (VH), EK","Variable capital, gp"
881,,,,,,,,,,,,,,,,,,,,,"Kapital (variabler Anteil, nur EU)","Capital (variable share, only sole proprietorships)"
890,,,,,,,,,,,,,,,,,,,,,"Gesellschafter-Darlehen (VH), FK","Partner loans, gp"
900,,,,,,,,,,,,,,,,,,,,,"Kommandit-Kapital (TH), EK","Loss adjustment account, lp"
910,,,,,,,,,,,,,,,,,,,,,"Verlustausgleichskonto (TH), EK","Loss adjustment account, lp"
920,,,,,,,,,,,,,,,,,,,,,"Gesellschafter-Darlehen (TH), FK","Partner loans, lp"
930,,,,,,,,,,,,,,,,,,,,,Übrige andere Sonderposten,Miscellaneous other special reserves
931,,,,,,,,,,,,,,,,,,,,,Steuerfreie Rücklagen nach § 6b EStG,Untaxed reserves under section 6b EStG
932,,,,,,,,,,,,,,,,,,,,,Rücklage für Ersatzbeschaffung,Replacement reserves
940,,,,,,,,,,,,,,,,,,,,,"SoPo mit Rücklageanteil, Sonder-AfA","Special tax-allowable reserves, accelerated tax depreciation and writedowns"
945,,,,,,,,,,,,,,,,,,,,,Ausgleichsposten Entnahmen § 4g EStG,"Adjustment item for withdrawals, s. 4g EStG"
946,,,,,,,,,,,,,,,,,,,,,Rücklage für Zuschüsse,Reserve for investment
947,,,,,,,,,,,,,,,,,,,,,SoPo Rücklageanteil nach § 7g (5) EStG,Special tax-allowable
948,,,,,,,,,,,,,,,,,,,,,Sonderposten für Zuschüsse Dritter,Special reserves for
949,,,,,,,,,,,,,,,,,,,,,Sonderposten für Investitionszulagen,Extraordinary items for investment grants
950,,,,,,,,,,,,,,,,,,,,,Pensions-und ähnliche Rückstellungen,Provisions for pensions and similar obligations
951,,,,,,,,,,,,,,,,,,,,,Rückstellung Pensionen zur Saldierung,Provisions for pensions and similar obligations for offsetting against long-term assets in accordance with section 246(2) HGB
952,,,,,,,,,,,,,,,,,,,,,Pensionsrückstellungen ggb. Ges.ern,Provisions for pensions and similar obligations to shareholders or related parties (10 % capital investment)
953,,,,,,,,,,,,,,,,,,,,,Rückstellungen für Direktzusagen,Provisions for direct commitments
954,,,,,,,,,,,,,,,,,,,,,"Rückst. Zuschussverpfl. Pens.kasse, LV",Provisions for subsidy obligations for pension funds and life insurances
955,,,,,,,,,,,,,,,,,,,,,Steuerrückstellungen,Provisions for taxes
956,,,,,,,,,,,,,,,,,,,,,Gewerbesteuerrückstellung § 4 (5b) EStG,"Provision for trade tax, section 4(5b) EStG"
961,,,,,,,,,,,,,,,,,,,,,Urlaubsrückstellungen,Provisions for vacation pay
962,,,,,,,,,,,,,,,,,,,,,Steuerrückstellung Steuerstundung BStBK,Provisions for taxes for tax deferral (BStBK)
963,,,,,,,,,,,,,,,,,,,,,Körperschaftsteuerrückstellung,Provision for corporate income tax
964,,,,,,,,,,,,,,,,,,,,,Rückstell. langfristige Verpflichtung,Long-term provisions for long-term obligations comparable to post-employment benefits
965,,,,,,,,,,,,,,,,,,,,,Rückstellungen für Personalkosten,Provisions for personnel expenses
966,,,,,,,,,,,,,,,,,,,,,Rückstellungen für Aufbewahrungspflicht,Provisions for record retention obligations
967,,,,,,,,,,,,,,,,,,,,,"Rückst. langfr. Verpflicht., Saldierung",Long-term provisions for long-term obligations comparable to post-employment benefits for offsetting with long-term assets under
968,,,,,,,,,,,,,,,,,,,,,Passive latente Steuern,Deferred tax liabilities
969,,,,,,,,,,,,,,,,,,,,,Rückstellungen für latente Steuern,Allowances for deferred tax liabilities
970,,,,,,,,,,,,,,,,,,,,,Sonstige Rückstellungen,Other provisions
971,,,,,,,,,,,,,,,,,,,,,Rückstellungen Instandhaltung bis 3 M,Provisions for maintenance expenses deferred to the first three months of the following year
973,,,,,,,,,,,,,,,,,,,,,Rückstellungen Abraum-/Abfallbeseit.,Provisions for environmental remediation and waste disposal expenses
974,,,,,,,,,,,,,,,,,,,,,Rückstellungen f. Gewährleistungen,Provisions for warranties (contra account 4790)
976,,,,,,,,,,,,,,,,,,,,,Rückstellungen f. drohende Verluste,Provisions for expected losses from executory contracts
977,,,,,,,,,,,,,,,,,,,,,Rückstellungen für Abschluss u. Prüfung,Provisions for period-end closing and audit costs
978,,,,,,,,,,,,,,,,,,,,,Aufwandsrückstellungen § 249 (2) HGB aF,Provisions for internal expenses under section 249(2) HGB (old version)
